ComputerName,user_state,HardwareVendor,HardwareModel,device_os,Device Group
LOFT-W2345,ACTIVATED,Dell Inc.,Latitude 3410,Windows,GRP-BR-Windows-Dell
LOFT-W6037,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3510,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W0785,,Dell Inc.,Latitude 3400,Windows,GRP-BR-Windows-Dell
LOFT-W2014,ACTIVATED,Dell Inc.,Latitude 3400,Windows,GRP-BR-Windows-Dell
LOFT-W3551,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W0677,ACTIVATED,Dell Inc.,Latitude 3490,Windows,GRP-BR-Windows-Dell
LOFT-W6111,,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3131,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W6092,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3353,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W0373,,Dell Inc.,Latitude 3400,Windows,GRP-BR-Windows-Dell
LOFT-W6134,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-SPW-3024,ACTIVATED,Dell Inc.,Latitude 3410,Windows,GRP-BR-Windows-Dell
LOFT-SPW-3114,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3746,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3209,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W3607,SUSPENDED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W-6301,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W0695,,Dell Inc.,Latitude 3490,Windows,GRP-BR-Windows-Dell
LOFT-W6259,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W6133,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W6009,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
CREDH-W0299,ACTIVATED,Dell Inc.,Latitude 3400,Windows,GRP-BR-Windows-Dell
LOFT-W6052,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
